#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:7
"JgBxF/l22#"	Basic (optional reversed card)	徳川十五代将軍	初代	徳川家康		徳川十五代将軍
b9LLAak$NS	Basic (optional reversed card)	徳川十五代将軍	2代	徳川秀忠		徳川十五代将軍
vThctb>]hr	Basic (optional reversed card)	徳川十五代将軍	3代	徳川家光		徳川十五代将軍
j&:Crv<b{n	Basic (optional reversed card)	徳川十五代将軍	4代	徳川家綱		徳川十五代将軍
IQ+JMaCYG0	Basic (optional reversed card)	徳川十五代将軍	5代	徳川綱吉		徳川十五代将軍
Q.$~]zI$^L	Basic (optional reversed card)	徳川十五代将軍	6代	徳川家宣		徳川十五代将軍
"ztR#nh7;^)"	Basic (optional reversed card)	徳川十五代将軍	7代	徳川家継		徳川十五代将軍
"z>@L#%0KU("	Basic (optional reversed card)	徳川十五代将軍	8代	徳川吉宗		徳川十五代将軍
h<4D8R[G98	Basic (optional reversed card)	徳川十五代将軍	9代	徳川家重		徳川十五代将軍
CHh^Yqk&Qh	Basic (optional reversed card)	徳川十五代将軍	10代	徳川家治		徳川十五代将軍
Pu*7<O`])W	Basic (optional reversed card)	徳川十五代将軍	11代	徳川家斉		徳川十五代将軍
r+]eBscynC	Basic (optional reversed card)	徳川十五代将軍	12代	徳川家慶		徳川十五代将軍
rtN^,ET%Ub	Basic (optional reversed card)	徳川十五代将軍	13代	徳川家定		徳川十五代将軍
i2%o9B,@Hj	Basic (optional reversed card)	徳川十五代将軍	14代	徳川家茂		徳川十五代将軍
NgHTLri,:X	Basic (optional reversed card)	徳川十五代将軍	15代	徳川慶喜		徳川十五代将軍
AsO~P`>pFK	Basic (optional reversed card)	近代の年号開始月日	明治	1869年1月25日	あ	近代の年号開始年月日
mOS(;ffzAW	Basic (optional reversed card)	近代の年号開始月日	大正	1912年7月30日	あ	近代の年号開始年月日
qryycn6Xam	Basic (optional reversed card)	近代の年号開始月日	昭和	1926年12月25日	あ	近代の年号開始年月日
GevzfV9;~R	Basic (optional reversed card)	近代の年号開始月日	平成	1989年1月8日	あ	近代の年号開始年月日
C5jcm*~TXN	Basic (optional reversed card)	近代の年号開始月日	令和	2019年5月1日	あ	近代の年号開始年月日
oUAz<)Yp10	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	1番：{{c1::北海道}}・{{c1::札幌市}}			全国地方公共団体コード（都道府県・県庁所在地）
iUBGsbF&Ne	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	2番　{{c1::青森県}}・{{c1::青森市}}			全国地方公共団体コード（都道府県・県庁所在地）
E23[LATyM>	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	3番　{{c1::岩手県}}・{{c1::盛岡市}}			全国地方公共団体コード（都道府県・県庁所在地）
Q?t9UwHelZ	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	4番　{{c1::宮城県}}・{{c1::仙台市}}			全国地方公共団体コード（都道府県・県庁所在地）
LXBZ|v1(F?	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	5番　{{c1::秋田県}}・{{c1::秋田市}}			全国地方公共団体コード（都道府県・県庁所在地）
f$U,b<AePD	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	6番　{{c1::山形県}}・{{c1::山形市}}			全国地方公共団体コード（都道府県・県庁所在地）
nGL,zMyHxy	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	7番　{{c1::福島県}}・{{c1::福島市}}			全国地方公共団体コード（都道府県・県庁所在地）
I8NF10nO+V	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	8番　{{c1::茨城県}}・{{c1::水戸市}}			全国地方公共団体コード（都道府県・県庁所在地）
lfWc8**]oj	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	9番　{{c1::栃木県}}・{{c1::宇都宮市}}			全国地方公共団体コード（都道府県・県庁所在地）
"h0Cb=r!#>$"	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	10番　{{c1::群馬県}}・{{c1::前橋市}}			全国地方公共団体コード（都道府県・県庁所在地）
mv6wp?}fUE	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	11番　{{c1::埼玉県}}・{{c1::さいたま市}}			全国地方公共団体コード（都道府県・県庁所在地）
mz8qIcmfA6	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	12番　{{c1::千葉県}}・{{c1::千葉市}}			全国地方公共団体コード（都道府県・県庁所在地）
Qu=@/D^O`Z	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	13番　{{c1::東京都}}・{{c1::新宿区}}			全国地方公共団体コード（都道府県・県庁所在地）
"nJ#kMf,5TW"	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	14番　{{c1::神奈川県}}・{{c1::横浜市}}			全国地方公共団体コード（都道府県・県庁所在地）
"b}|(0]`#eB"	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	15番　{{c1::新潟県}}・{{c1::新潟市}}			全国地方公共団体コード（都道府県・県庁所在地）
MW(7^j0Rm(	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	16番　{{c1::富山県}}・{{c1::富山市}}			全国地方公共団体コード（都道府県・県庁所在地）
g}D@2egGiz	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	17番　{{c1::石川県}}・{{c1::金沢市}}			全国地方公共団体コード（都道府県・県庁所在地）
mo:?KKh.ci	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	18番　{{c1::福井県}}・{{c1::福井市}}			全国地方公共団体コード（都道府県・県庁所在地）
wYQvj4P$Mj	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	19番　{{c1::山梨県}}・{{c1::甲府市}}			全国地方公共団体コード（都道府県・県庁所在地）
L=Vo1AMs-(	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	20番　{{c1::長野県}}・{{c1::長野市}}			全国地方公共団体コード（都道府県・県庁所在地）
"K&3^2$#-vf"	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	21番　{{c1::岐阜県}}・{{c1::岐阜市}}			全国地方公共団体コード（都道府県・県庁所在地）
F^HV?,aP$a	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	22番　{{c1::静岡県}}・{{c1::静岡市}}			全国地方公共団体コード（都道府県・県庁所在地）
f57LH=j_C{	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	23番　{{c1::愛知県}}・{{c1::名古屋市}}			全国地方公共団体コード（都道府県・県庁所在地）
NeK)L;Z8/R	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	24番　{{c1::三重県}}・{{c1::津市}}			全国地方公共団体コード（都道府県・県庁所在地）
W.~3LYUX{	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	25番　{{c1::滋賀県}}・{{c1::大津市}}			全国地方公共団体コード（都道府県・県庁所在地）
Q,ut]1K|(+	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	26番　{{c1::京都府}}・{{c1::京都市}}			全国地方公共団体コード（都道府県・県庁所在地）
wE;on[Id4T	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	27番　{{c1::大阪府}}・{{c1::大阪市}}			全国地方公共団体コード（都道府県・県庁所在地）
N=TTh94E=$	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	28番　{{c1::兵庫県}}・{{c1::神戸市}}			全国地方公共団体コード（都道府県・県庁所在地）
Bi.KVOWqvE	Cloze	全国地方公共団体コード（都道府県・県庁所在地）	29番　{{c1::奈良県}}・{{c1::奈良市}}			全国地方公共団体コード（都道府県・県庁所在地）
